fill date,Site,date of deployment,date of retrieval,numDaysField,initialMass,dryMass,Source_Cond,Site_Cond,Batch,Site,numDaysField,Batch,initialMass,dryMass,Source_Cond,Site_Cond,,,,,,,
8/12/2018,4,18/12/2018,18/12/2018,0,6.04,4.86,wet,wet,W8,4,0,W8,6.04,4.86,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
8/11/2018,4,4/12/2018,4/12/2019,0,6.17,4.92,dry,wet,D7,4,0,D7,6.17,4.92,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
28/9/2018,4,9/10/2018,9/10/2018,0,6.03,5.1,dry,wet,D4,4,0,D4,6.03,5.1,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
11/10/2018,4,23/10/2018,23/10/2018,0,6.03,5.12,dry,wet,D5,4,0,D5,6.03,5.12,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
27/9/2018,4,9/10/2018,9/10/2018,0,6.04,5.39,wet,wet,W4,4,0,W4,6.04,5.39,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
22/11/2018,4,4/12/2018,4/12/2019,0,6.03,5.44,wet,wet,W7,4,0,W7,6.03,5.44,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3/9/2018,4,11/9/2018,11/9/2018,0,6.12,5.46,wet,wet,D1,4,0,W1,6.12,5.46,wet,wet,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
8/9/2018,4,11/9/2018,11/9/2018,0,6.13,5.51,dry,wet,W2,4,0,D2,6.13,5.51,dry,wet,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
12/10/2018,4,23/10/2018,23/10/2018,0,6.86,5.59,wet,wet,W5,4,0,W5,6.86,5.59,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
8/9/2018,4,11/9/2018,11/9/2018,0,6.25,5.63,wet,wet,W2,4,0,W2,6.25,5.63,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3/9/2018,4,11/9/2018,11/9/2018,0,6.37,5.76,dry,wet,D1,4,0,D1,6.37,5.76,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
28/9/2018,4,9/10/2018,5/11/2018,27,6.02,4.47,dry,wet,D4,4,27,D4,6.02,4.47,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
